PHYSICAL SCIENCE 50-PG STUDENT LAB NOTEBOOK	HAYDEN-MCNEIL	Chemistry	9781930882898	CHEM B104	1	-1	11	Spring 2019	-1
Goggle (Revolution or Honeywell)	HAYDEN-MCNEIL	Chemistry	603390120701	CHEM B104	1	-1	10	Spring 2019	-1
Chemistry And Chemical Reactivity(8th)	Kotz & Treichel	Chemistry	2900840048287	CHEM B104	1	30	-1	Spring 2019	-1
Organic Chemistry - Study Guide and Solutions Manual	Loudon	Chemistry	9781936221868	CHEM B212	1	55.25	78.75	Spring 2019	https://bookshop.brynmawr.edu/sites/bookshop.brynmawr.edu/files/imagecache/product_list/isbn_images/9781936221868.jpg
Organic Chemistry	Loudon	Chemistry	9781936221349	CHEM B212	1	104.25	149	Spring 2019	https://bookshop.brynmawr.edu/sites/bookshop.brynmawr.edu/files/imagecache/product_list/isbn_images/9781936221349.jpg
ORGANIC CHEMISTRY AS SECOND LANGUAGE: SECOND SEMESTER TOPICS	KLEIN	Chemistry	9781119110651	CHEM B212	0	38.5	55	Spring 2019	https://bookshop.brynmawr.edu/sites/bookshop.brynmawr.edu/files/imagecache/product_list/isbn_images/9781118144343.jpg
PHYSICAL CHEMISTRY	MCQUARRIE	Chemistry	9780935702996	CHEM B222	1	-1	85	Spring 2019	https://bookshop.brynmawr.edu/sites/bookshop.brynmawr.edu/files/imagecache/product_list/isbn_images/9780935702996.jpg
INORGANIC CHEMISTRY (P)	HOUSECROFT	Chemistry	9780273742753	CHEM B231	1	100	212	Spring 2019	https://bookshop.brynmawr.edu/sites/bookshop.brynmawr.edu/files/imagecache/product_list/isbn_images/9780273742753.jpg
Organometallic Chemistry	Spessard	Chemistry	9780199342679	CHEM B334	1	107.25	152.95	Spring 2019	https://bookshop.brynmawr.edu/sites/bookshop.brynmawr.edu/files/imagecache/product_list/isbn_images/9780199342679.jpg
Gene Machine	Ramakrishnan	Chemistry	9780465093366	CHEM B377	1	15.75	22.5	Spring 2019	https://bookshop.brynmawr.edu/sites/bookshop.brynmawr.edu/files/imagecache/product_list/isbn_images/9780465093366.jpg
Secret Life of Fat	Tara	Chemistry	9780393354973	CHEM B377	1	9	13	Spring 2019	https://bookshop.brynmawr.edu/sites/bookshop.brynmawr.edu/files/imagecache/product_list/isbn_images/9780393354973.jpg
BIOCHEMISTRY 7TH Edition	BERG	Chemistry	9781429229364	CHEM B377	0	62	-1	Spring 2019	https://bookshop.brynmawr.edu/sites/bookshop.brynmawr.edu/files/imagecache/product_list/isbn_images/9781429229364.jpg
Organometallic Chemistry	Spessard	Chemistry	9780199342679	CHEM B534	1	107.25	152.95	Spring 2019	https://bookshop.brynmawr.edu/sites/bookshop.brynmawr.edu/files/imagecache/product_list/isbn_images/9780199342679.jpg
Gene Machine	Ramakrishnan	Chemistry	9780465093366	CHEM B577	1	15.75	22.5	Spring 2019	https://bookshop.brynmawr.edu/sites/bookshop.brynmawr.edu/files/imagecache/product_list/isbn_images/9780465093366.jpg
BIOCHEMISTRY 7TH Edition	BERG	Chemistry	9781429229364	CHEM B577	0	62		Spring 2019	https://bookshop.brynmawr.edu/sites/bookshop.brynmawr.edu/files/imagecache/product_list/isbn_images/9781429229364.jpg
INTRO TO PROGRAMMING IN JAVA (P)	SEDGEWICK	Computer Science	9780672337840	CSMC B113	1	56	79.75	Spring 2019	https://bookshop.brynmawr.edu/sites/bookshop.brynmawr.edu/files/imagecache/product_list/isbn_images/9780672337840.jpg
DATA STRUCTURES & ALGORITHMS IN JAVA (P)	GOODRICH	Computer Science	9781118771334	CSMC B206	1	113.75	162.5	Spring 2019	https://bookshop.brynmawr.edu/sites/bookshop.brynmawr.edu/files/imagecache/product_list/isbn_images/9781118771334.jpg
LINUX COMMAND LINE (P)	SHOTTS	Computer Science	9780393979503	CSMC B246	1	22.5	32	Spring 2019	https://bookshop.brynmawr.edu/sites/bookshop.brynmawr.edu/files/imagecache/product_list/isbn_images/9781593273897.jpg
C PROGRAMMING (P)	KING	Computer Science	9780393979503	CSMC B246	1	97.25	138.75	Spring 2019	https://bookshop.brynmawr.edu/sites/bookshop.brynmawr.edu/files/imagecache/product_list/isbn_images/9780393979503.jpg
Discrete and Computational Geometry	Devadoss & O'Rourke	Computer Science	9780691145532	CSMC B310	1	55	78.5	Spring 2019	https://bookshop.brynmawr.edu/sites/bookshop.brynmawr.edu/files/imagecache/product_list/isbn_images/9780691145532.jpg
MODERN COMPILER IMPLEMENTATION IN ML (P)	APPEL	Computer Science	9780521607643	CSMC B350	1	59.5	84.99	Spring 2019	https://bookshop.brynmawr.edu/sites/bookshop.brynmawr.edu/files/imagecache/product_list/isbn_images/9780521607643.jpg
HOUSE ON MANGO STREET (25TH ANNIVERSARY ED)	CISNEROS	Comparative Literature	9780679734772	COML B200	1	6.75	9.75	Spring 2019	https://bookshop.brynmawr.edu/sites/bookshop.brynmawr.edu/files/imagecache/product_list/isbn_images/9780679734772.jpg
Jane Eyre 4 Edition	Bronte	Comparative Literature	9780393264876	COML B200	1	12	17	Spring 2019	https://bookshop.brynmawr.edu/sites/bookshop.brynmawr.edu/files/imagecache/product_list/isbn_images/9780393264876.jpg
KINGDOM OF THIS WORLD (P)	CARPENTIER	Comparative Literature	9780374537388	COML B200	1	8.5	12	Spring 2019	https://bookshop.brynmawr.edu/sites/bookshop.brynmawr.edu/files/imagecache/product_list/isbn_images/9780374537388.jpg
Agamemnon	Aeschylus	Comparative Literature	9780299306342	COML B200	1	8.25	11.75	Spring 2019	https://bookshop.brynmawr.edu/sites/bookshop.brynmawr.edu/files/imagecache/product_list/isbn_images/9780299306342.jpg
LIFE'S A DREAM (INTRO KIDD) (P)	CALDERON DE LA BARCA	Comparative Literature	9780870817779	COML B200	1	11.25	15.95	Spring 2019	https://bookshop.brynmawr.edu/sites/bookshop.brynmawr.edu/files/imagecache/product_list/isbn_images/9780870817779.jpg
CAMBRIDGE ILLUSTRATED HISTORY: CHINA (P)	EBREY	East Asian Languages & Culture	9780521124331	ELAC B131	1	35	49.99	Spring 2019	https://bookshop.brynmawr.edu/sites/bookshop.brynmawr.edu/files/imagecache/product_list/isbn_images/9780521124331.jpg
HAWAII READER IN TRADITIONAL CHINESE CULTURE	MAIR	East Asian Languages & Culture	9780824827854	ELAC B131	1	24.5	35	Spring 2019	https://bookshop.brynmawr.edu/sites/bookshop.brynmawr.edu/files/imagecache/product_list/isbn_images/9780824827854.jpg
Golden Days: The Story of the Stone Volume 1	XUEQIN	East Asian Languages & Culture	9780140442939	ELAC B212	1	11.25	16	Spring 2019	https://bookshop.brynmawr.edu/sites/bookshop.brynmawr.edu/files/imagecache/product_list/isbn_images/9780140442939.jpg
Crab-Flower Club: The Story of the Stone Volume 2	XUEQIN	East Asian Languages & Culture	9780140443264	ELAC B212	1	11.25	16	Spring 2019	https://bookshop.brynmawr.edu/sites/bookshop.brynmawr.edu/files/imagecache/product_list/isbn_images/9780140443264.jpg
Warning Voice: The Story of the Stone Volume 3	XUEQIN	East Asian Languages & Culture	9780140443707	ELAC B212	1	11.25	16	Spring 2019	https://bookshop.brynmawr.edu/sites/bookshop.brynmawr.edu/files/imagecache/product_list/isbn_images/9780140443707.jpg
Debt of Tears: The Story of the Stone Volume 4	XUEQIN	East Asian Languages & Culture	9780140443714	ELAC B212	1	10.75	15.25	Spring 2019	https://bookshop.brynmawr.edu/sites/bookshop.brynmawr.edu/files/imagecache/product_list/isbn_images/9780140443714.jpg
Dreamer Wakes: The Story of the Stone Volume 5	XUEQIN	East Asian Languages & Culture	9780140443721	ELAC B212	1	10.75	15.25	Spring 2019	https://bookshop.brynmawr.edu/sites/bookshop.brynmawr.edu/files/imagecache/product_list/isbn_images/9780140443721.jpg
CHINESE HUMAN RIGHTS READER (P)	ANGLE	East Asian Languages & Culture	9780765606938	ELAC B264	1	37.25	52.95	Spring 2019	-1
CONFUCIANISM & HUMAN RIGHTS (P)	DEBARRY	East Asian Languages & Culture	9780231109376	ELAC B264	1	26.75	38	Spring 2019	-1
CHINA BEYOND HEADLINES (ED WESTON, JENSEN) (P)	WESTON	East Asian Languages & Culture	9781442209053	ELAC B264	1	12	51	Spring 2019	-1
WILL THE BOAT SINK THE WATER? (P)	GUIDI	East Asian Languages & Culture	9781586484415	ELAC B264	1	4.5	13.75	Spring 2019	-1
Debating Human Rights in China : A Conceptual and Political History	Svensson	East Asian Languages & Culture	9780742516977	ELAC B264	1	34.5	49	Spring 2019	-1
BEST AMERICAN COMICS 2014	MCCLOUD	East Asian Languages & Culture	9780544106000	ELAC B310	1	9.5	25	Spring 2019	https://bookshop.brynmawr.edu/sites/bookshop.brynmawr.edu/files/imagecache/product_list/isbn_images/9780544106000.jpg
New School	Shaw	East Asian Languages & Culture	9781606996447	ELAC B310	1	10	36	Spring 2019	https://bookshop.brynmawr.edu/sites/bookshop.brynmawr.edu/files/imagecache/product_list/isbn_images/9781606996447.jpg
Best American Comics 2016	Chast	East Asian Languages & Culture	9780544750357	ELAC B310	1	12	22.5	Spring 2019	https://bookshop.brynmawr.edu/sites/bookshop.brynmawr.edu/files/imagecache/product_list/isbn_images/9780544750357.jpg
Best American Comics 2018	Gloeckner	East Asian Languages & Culture	9781328464606	ELAC B310	1	14	20	Spring 2019	https://bookshop.brynmawr.edu/sites/bookshop.brynmawr.edu/files/imagecache/product_list/isbn_images/9781328464606.jpg
Truth Is Fragmentary	Bell	East Asian Languages & Culture	9780988901452	ELAC B310	1	11.25	16	Spring 2019	https://bookshop.brynmawr.edu/sites/bookshop.brynmawr.edu/files/imagecache/product_list/isbn_images/9780988901452.jpg
Thousand Coloured Castles	Brookes	East Asian Languages & Culture	9780271079271	ELAC B310	1	14.5	20.75	Spring 2019	https://bookshop.brynmawr.edu/sites/bookshop.brynmawr.edu/files/imagecache/product_list/isbn_images/9780271079271.jpg
Sabrina	Drnaso	East Asian Languages & Culture	9781770463165	ELAC B310	1	15.75	22.5	Spring 2019	https://bookshop.brynmawr.edu/sites/bookshop.brynmawr.edu/files/imagecache/product_list/isbn_images/9781770463165.jpg
Curses	Huizenga	East Asian Languages & Culture	9781894937863	ELAC B310	1	15.5	21.95	Spring 2019	https://bookshop.brynmawr.edu/sites/bookshop.brynmawr.edu/files/imagecache/product_list/isbn_images/9781894937863.jpg
Perfect Example	Porcellino	East Asian Languages & Culture	9780966536355	ELAC B310	1	15.5	21.95	Spring 2019	-1
MULAN (P)	KWA	East Asian Languages & Culture	9781603841962	ELAC B315	1	11.25	16	Spring 2019	https://bookshop.brynmawr.edu/sites/bookshop.brynmawr.edu/files/imagecache/product_list/isbn_images/9781603841962.jpg
WOMAN WARRIOR (TRADE ED) (P)	KINGSTON	East Asian Languages & Culture	9780679721888	ELAC B315	1	7	12	Spring 2019	https://bookshop.brynmawr.edu/sites/bookshop.brynmawr.edu/files/imagecache/product_list/isbn_images/9780679721888.jpg
WHITE SNAKE & HER SON (P)	IDEMA	East Asian Languages & Culture	9780872209954	ELAC B315	1	10.5	15	Spring 2019	https://bookshop.brynmawr.edu/sites/bookshop.brynmawr.edu/files/imagecache/product_list/isbn_images/9780872209954.jpg
BUTTERFLY LOVERS (P)	IDEMA	East Asian Languages & Culture	9781603841948	ELAC B315	1	10.5	15	Spring 2019	https://bookshop.brynmawr.edu/sites/bookshop.brynmawr.edu/files/imagecache/product_list/isbn_images/9781603841948.jpg
Precious Raft of History	Judge	East Asian Languages & Culture	9780804773263	ELAC B315	1	19.5	28	Spring 2019	https://bookshop.brynmawr.edu/sites/bookshop.brynmawr.edu/files/imagecache/product_list/isbn_images/9780804773263.jpg
